countyfp,tractce10,geoid,score,tr10,ctu_prmry,tr_ej,tr_eda,poptot_mc,pbipoc,phisppop
139,80202,27139080202,0,27139080202,Savage,0,0,6009,0.217,0.046
139,80204,27139080204,0,27139080204,Savage,0,0,3444,0.146,0.02
139,80100,27139080100,1,27139080100,Savage,0,0,2448,0.355,0.128
139,80302,27139080302,0,27139080302,Shakopee,0,0,16282,0.26,0.031
139,80400,27139080400,5,27139080400,Shakopee,1,1,4146,0.436,0.195
139,80500,27139080500,1,27139080500,Shakopee,0,1,2971,0.15,0.056
123,42401,27123042401,3,27123042401,Maplewood,0,0,6593,0.371,0.113
123,40302,27123040302,1,27123040302,White Bear Lake,0,0,5409,0.136,0.053
123,41602,27123041602,2,27123041602,Roseville,1,0,3950,0.473,0.016
123,30300,27123030300,2,27123030300,St. Paul,0,0,5945,0.178,0.032
123,31100,27123031100,8,27123031100,St. Paul,1,1,4152,0.541,0.076
123,42102,27123042102,2,27123042102,Little Canada,0,0,4717,0.41,0.036
123,40200,27123040200,1,27123040200,White Bear Lake,0,1,2121,0.056,0.012
123,41700,27123041700,2,27123041700,Roseville,0,0,3014,0.174,0.074
139,80600,27139080600,2,27139080600,Shakopee,0,0,4644,0.288,0.088
139,80903,27139080903,0,27139080903,Prior Lake,1,0,8633,0.192,0.024
139,80904,27139080904,1,27139080904,Prior Lake,0,0,7726,0.103,0.029
139,80906,27139080906,0,27139080906,Prior Lake,0,0,5555,0.066,0.023
139,80905,27139080905,0,27139080905,Prior Lake,1,0,5579,0.073,0.044
123,41500,27123041500,2,27123041500,Roseville,0,0,5364,0.148,0.008
123,42301,27123042301,1,27123042301,Maplewood,0,0,3107,0.269,0.001
123,41601,27123041601,2,27123041601,Roseville,0,0,6443,0.28,0.08
123,42302,27123042302,5,27123042302,Maplewood,1,0,4985,0.454,0.127
123,31500,27123031500,0,27123031500,St. Paul,1,1,3140,0.765,0.12
123,32100,27123032100,0,27123032100,St. Paul,1,1,3211,0.343,0.124
123,32200,27123032200,8,27123032200,St. Paul,0,0,2622,0.225,0.036
123,37200,27123037200,3,27123037200,St. Paul,1,1,6355,0.62,0.391
123,31000,27123031000,3,27123031000,St. Paul,1,1,4824,0.759,0.146
123,31801,27123031801,8,27123031801,St. Paul,1,1,5234,0.705,0.177
123,30900,27123030900,8,27123030900,St. Paul,1,1,4154,0.742,0.249
123,42602,27123042602,0,27123042602,North St. Paul,0,0,2384,0.259,0.046
123,40402,27123040402,8,27123040402,White Bear Lake,0,0,5520,0.141,0.068
123,31802,27123031802,8,27123031802,St. Paul,1,1,4082,0.575,0.192
123,37403,27123037403,3,27123037403,St. Paul,1,1,6752,0.621,0.023
123,33300,27123033300,2,27123033300,St. Paul,0,0,3352,0.242,0.063
123,37402,27123037402,6,27123037402,St. Paul,1,0,3943,0.51,0.079
123,30702,27123030702,7,27123030702,St. Paul,1,1,5256,0.533,0.134
123,41106,27123041106,3,27123041106,New Brighton,0,0,3899,0.218,0.049
139,81300,27139081300,5,27139081300,Belle Plaine,0,0,9113,0.082,0.036
139,81100,27139081100,5,27139081100,Elko New Market,0,0,11674,0.047,0.008
139,80203,27139080203,2,27139080203,Savage,0,0,7777,0.348,0.039
139,81000,27139081000,0,27139081000,Credit River Township,0,0,8880,0.05,0.007
139,80205,27139080205,0,27139080205,Savage,0,0,9483,0.167,0.039
139,81200,27139081200,0,27139081200,New Prague,0,0,6672,0.108,0.038
139,80700,27139080700,0,27139080700,Jackson Township,0,0,3241,0.24,0.163
139,80800,27139080800,0,27139080800,Jordan,0,0,8941,0.168,0.111
139,80301,27139080301,0,27139080301,Shakopee,0,0,12156,0.391,0.106
139,80201,27139080201,0,27139080201,Savage,0,0,3084,0.118,0.01
123,41400,27123041400,3,27123041400,Roseville,0,0,5824,0.204,0.028
123,41104,27123041104,2,27123041104,New Brighton,0,0,3286,0.07,0.015
123,40705,27123040705,1,27123040705,Shoreview,0,0,4250,0.189,0.033
123,41302,27123041302,3,27123041302,Roseville,0,0,4480,0.222,0.039
123,35800,27123035800,3,27123035800,St. Paul,0,0,3032,0.222,0.068
123,40803,27123040803,1,27123040803,Arden Hills,0,0,5069,0.072,0.02
123,42402,27123042402,2,27123042402,Maplewood,1,1,6286,0.396,0.069
123,41001,27123041001,1,27123041001,Mounds View,0,0,3522,0.132,0.034
123,37000,27123037000,2,27123037000,St. Paul,0,0,2902,0.25,0.178
123,36100,27123036100,8,27123036100,St. Paul,1,1,1850,0.876,0.263
123,37601,27123037601,3,27123037601,St. Paul,0,0,4152,0.136,0.044
123,41105,27123041105,3,27123041105,New Brighton,0,0,5975,0.127,0.03
123,40601,27123040601,1,27123040601,North Oaks,0,0,5918,0.101,0.024
123,40604,27123040604,1,27123040604,Vadnais Heights,0,0,7913,0.266,0.034
123,31600,27123031600,2,27123031600,St. Paul,1,1,4585,0.807,0.126
123,34702,27123034702,8,27123034702,St. Paul,1,1,4198,0.573,0.075
123,33000,27123033000,3,27123033000,St. Paul,1,1,2402,0.741,0.137
123,41800,27123041800,6,27123041800,Roseville,0,0,3819,0.311,0.049
