tr10,tr_ej,ctu_prmry,env_js
27053025302,0,Bloomington,1
27037060105,1,West St. Paul,3
27003050222,0,Andover,0
27037061004,0,Rosemount,0
27037061106,0,Hastings,0
27053025905,0,Bloomington,0
27019090602,0,Chanhassen,0
27053027601,0,Mound,0
27123033300,0,St. Paul,3
27053022301,0,St. Louis Park,0
27053110900,0,Minneapolis,3
27053107000,1,Minneapolis,6
27053025805,0,Bloomington,0
27037060817,0,Lakeville,0
27053109400,1,Minneapolis,7
27139081200,0,New Prague,0
27037060506,0,Inver Grove Heights,0
27123036300,0,St. Paul,0
27053026510,0,Plymouth,0
27053103700,1,Minneapolis,3
27053026514,0,Plymouth,0
27123041301,0,Roseville,0
27053026612,0,Plymouth,0
27123041104,0,New Brighton,0
27053020301,1,Brooklyn Center,2
27037060735,0,Eagan,1
27019090302,0,Waconia,0
27053026910,0,Dayton,0
27037060902,0,Farmington,0
27139080204,0,Savage,0
27139080904,0,Prior Lake,0
27053025201,1,Bloomington,3
27053023400,1,Hopkins,3
27053100800,1,Minneapolis,7
27019091201,0,Norwood Young America,0
27053104900,1,Minneapolis,5
27053008400,1,Minneapolis,7
27053110000,1,Minneapolis,6
27163070204,0,Hugo,0
27163071016,0,Woodbury,0
27053011998,0,Minneapolis,1
27123041602,1,Roseville,0
27003051201,1,Fridley,2
27053026013,0,Eden Prairie,0
27163071006,0,Woodbury,0
27123041400,0,Roseville,0
27037061105,0,Hastings,0
27163070910,0,Oakdale,0
27053026606,0,Plymouth,0
27163071207,0,Cottage Grove,0
27053012101,1,Minneapolis,5
27053025403,1,Bloomington,2
27123032300,0,St. Paul,3
27037060202,0,South St. Paul,0
27053026707,0,Maple Grove,0
27019090301,0,Waconia,0
27163071300,0,St. Paul Park,0
27053021505,0,New Hope,0
27123042102,0,Little Canada,0
27053026508,0,Plymouth,0
27037060739,0,Burnsville,3
27037060730,0,Eagan,0
27037060301,0,South St. Paul,0
27163070104,0,Forest Lake,0
27003050712,0,Coon Rapids,0
27163070301,0,Dellwood,0
27053024801,1,Richfield,2
27003050808,0,Blaine,0
27123033600,1,St. Paul,7
27053026823,1,Brooklyn Park,0
27053011800,0,Minneapolis,0
27053021100,0,Robbinsdale,0
27003050806,0,Blaine,0
27053026810,1,Brooklyn Park,3
27037060727,0,Eagan,0
27037061402,0,Hampton Township,0
27037061008,0,Rosemount,0
27053020102,0,St. Anthony,0
27163071015,0,Woodbury,0
27053024005,0,Edina,0
27123034202,0,St. Paul,1
27123035100,0,St. Paul,1
27053000601,0,Minneapolis,0
27053026101,0,Minnetonka,0
27003050505,0,Anoka,0
27123042601,0,North St. Paul,0
27003051400,0,Columbia Heights,2
27053021001,0,Crystal,0
27053012001,0,Minneapolis,0
27003050230,0,Lino Lakes,0
27163070205,0,Scandia,0
27053026710,0,Maple Grove,0
27053021601,0,Golden Valley,0
27053022902,0,St. Louis Park,0
27003050807,1,Blaine,1
27037060904,0,Farmington,0
27053026903,0,Champlin,0
27123037403,1,St. Paul,7
27123040703,0,Shoreview,0
27037060502,0,Inver Grove Heights,1
27123041002,0,Mounds View,0
27053026906,0,Champlin,0
27037060737,0,Burnsville,1
27053026715,0,Maple Grove,0
27003050111,0,East Bethel,0
27037060711,1,Burnsville,2
27053110100,0,Minneapolis,0
27123034900,0,St. Paul,0
27053106700,0,Minneapolis,3
27053101600,1,Minneapolis,7
27053000300,0,Minneapolis,0
27123042501,0,Maplewood,2
27053025803,0,Bloomington,0
