ctu_prmry,tr10,tr_ej,holc_pred,score
Plymouth,27053026508,0,NULL,23.5378
Rosemount,27037061008,0,NULL,24.4902
Plymouth,27053026606,0,NULL,22.8698
Eagan,27037060749,0,NULL,24.2718
Belle Plaine,27139081300,0,NULL,23.0338
Roseville,27123041800,0,NULL,25.1722
Vadnais Heights,27123040604,0,NULL,23.4328
Minneapolis,27053107400,1,0,26.4174
Robbinsdale,27053021100,0,NULL,25.0476
Brooklyn Park,27053026807,1,NULL,25.2694
Plymouth,27053026609,0,NULL,23.2158
Prior Lake,27139080906,0,NULL,22.4488
Brooklyn Center,27053020301,1,NULL,25.2086
Minneapolis,27053105700,1,0.239,24.584
Crystal,27053021002,0,NULL,23.7304
Burnsville,27037060713,0,NULL,23.4736
Burnsville,27037060741,0,NULL,24.4186
Cologne,27019091202,0,NULL,20.7464
St. Paul,27123037602,1,0.665,23.2982
Plymouth,27053026605,0,NULL,23.1744
Plymouth,27053026509,0,NULL,23.3482
St. Paul,27123036100,1,0.206,24.606
Brooklyn Park,27053026823,1,NULL,24.646
Eden Prairie,27053026013,0,NULL,23.8026
Arden Hills,27123040803,0,NULL,24.592
Anoka,27003050504,0,NULL,25.5748
Bloomington,27053025701,0,NULL,24.2584
Minneapolis,27053101800,1,0.285,25.5574
New Hope,27053021504,0,NULL,25.0276
Minneapolis,27053109100,0,0,23.0756
Bloomington,27053025100,1,NULL,23.9012
Minneapolis,27053000601,0,0.01,24.9334
Chanhassen,27019090601,0,NULL,23.8182
St. Paul,27123030500,1,0.044,24.526
Maple Grove,27053026716,0,NULL,23.4712
Edina,27053023903,0,NULL,24.4402
Scandia,27163070205,0,NULL,21.41
Minneapolis,27053103100,1,0.858,25.2202
Ramsey,27003050224,0,NULL,22.3348
South St. Paul,27037060301,0,NULL,23.7946
Eden Prairie,27053026006,0,NULL,23.552
Chaska,27019090900,0,NULL,23.0172
Minnetonka,27053026301,0,NULL,22.6678
Bloomington,27053025905,0,NULL,24.021
Richfield,27053024100,0,NULL,25.9076
St. Paul,27123033200,1,0,25.6524
Minneapolis,27053104400,1,0.011,25.2604
Shoreview,27123040706,0,NULL,23.9416
Minnetonka,27053026402,0,NULL,24.0916
St. Paul,27123033800,1,0.205,25.481
Blaine,27003050805,0,NULL,23.9352
Coon Rapids,27003050712,0,NULL,23.565
Chanhassen,27019090701,0,NULL,23.4498
Brooklyn Center,27053020600,1,NULL,24.8468
Brooklyn Center,27053020303,1,NULL,25.7196
Inver Grove Heights,27037060508,0,NULL,23.2164
Eagan,27037060732,0,NULL,23.6454
St. Paul,27123042900,0,0,25.2078
St. Paul,27123032500,1,0,24.4874
St. Paul,27123033000,1,0.645,25.1494
Coon Rapids,27003050707,0,NULL,23.8184
Chanhassen,27019090602,0,NULL,23.0026
East Bethel,27003050111,0,NULL,21.7126
Mound,27053027602,0,NULL,23.4734
St. Paul,27123035800,0,0.08,24.424
Minneapolis,27053111100,0,0,23.8088
Brooklyn Park,27053026812,1,NULL,22.61
Woodbury,27163071012,0,NULL,24.3514
Minneapolis,27053008300,1,0,26.2172
Dellwood,27163070301,0,NULL,22.2918
Bloomington,27053025601,0,NULL,26.6096
Andover,27003050222,0,NULL,24.8646
Brooklyn Center,27053020400,1,NULL,24.2286
Coon Rapids,27003050706,0,NULL,24.3824
St. Paul,27123036500,0,0,24.448
Coon Rapids,27003050610,0,NULL,24.6666
St. Paul,27123037200,1,0,24.253
Maple Grove,27053026712,0,NULL,23.462
Minnetonka,27053026206,0,NULL,23.9714
Stillwater,27163070404,0,NULL,22.6558
Minneapolis,27053007801,1,0.266,25.3026
Cottage Grove,27163071207,0,NULL,21.9182
Linwood Township,27003051600,0,NULL,21.5536
Long Lake,27053027202,0,NULL,23.8744
Eagan,27037060733,0,NULL,22.1162
Mendota Heights,27037060605,0,NULL,24.1668
Lauderdale,27123042002,0,NULL,24.5092
Chaska,27019091000,0,NULL,21.9742
Cottage Grove,27163071209,0,NULL,23.2764
Minneapolis,27053002400,0,0.478,24.4332
Inver Grove Heights,27037060507,0,NULL,24.3448
Lino Lakes,27003050229,0,NULL,23.5632
Edina,27053024006,0,NULL,24.2088
St. Paul,27123035900,1,0.971,25.1038
Crystal,27053020801,0,NULL,23.2014
Edina,27053024004,0,NULL,25.4782
Eden Prairie,27053026021,0,NULL,24.3552
St. Louis Park,27053022700,0,NULL,24.2216
St. Paul,27123033300,0,0,24.654
Corcoran,27053027102,0,NULL,22.4594
Lino Lakes,27003050233,0,NULL,21.2408
White Bear Lake,27123040504,0,NULL,24.2388
Ham Lake,27003050235,0,NULL,23.204
Woodbury,27163071001,0,NULL,23.8998
Savage,27139080203,0,NULL,23.779
Minneapolis,27053102900,1,0.46,25.9238
Maplewood,27123042202,0,NULL,23.2418
New Prague,27139081200,0,NULL,22.674
Lino Lakes,27003050236,0,NULL,22.8108
Richfield,27053024902,1,NULL,25.2994
St. Francis,27003050107,0,NULL,21.3418
Shakopee,27139080400,1,NULL,23.1318
Minnetonka,27053026404,0,NULL,23.8168
Minneapolis,27053106500,0,0,23.1164
St. Paul,27123032400,1,0,24.8528
Eagan,27037060725,0,NULL,22.9688
Brooklyn Center,27053020304,1,NULL,25.2582
Woodbury,27163071017,0,NULL,24.1026
St. Paul,27123035700,0,0,24.918
Minneapolis,27053110900,0,0.206,25.3968
Burnsville,27037060737,0,NULL,23.6378
St. Paul,27123032700,1,0.611,26.529
Burnsville,27037060739,0,NULL,22.402
Deephaven,27053027400,0,NULL,23.2058
Minneapolis,27053001100,0,0.084,25.2858
Apple Valley,27037060824,0,NULL,24.5752
St. Paul,27123031400,1,0.543,25.4578
St. Paul,27123036300,0,0,24.0826
Minneapolis,27053100800,1,0,24.0562
Bloomington,27053025903,0,NULL,22.6874
Woodbury,27163071014,0,NULL,24.2612
St. Paul,27123030100,0,0.042,24.4152
St. Paul,27123032600,1,0,23.4862
Brooklyn Park,27053026819,1,NULL,25.469
Mounds View,27123041002,0,NULL,24.013
